product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
37120282,6.28,40.0,157.0,,,4.0,,True,Cơ bản,Hà Đông,Tin thường,False
37231157,26.8,150.0,178.67,31.0,31.0,7.0,8.0,True,"* Nội thất bên trong như khách sạn 5 sao với đầy đủ nội thất, giường, tủ quần áo, tủ bếp, hút mùi, bàn làm việc, bàn ăn, tủ lạnh, điều hòa, nóng lạnh, máy giặt, máy sấy quần áo...",Nam Từ Liêm,Tin thường,False
37750232,28.5,80.0,356.25,,,7.0,6.3,True,Đầy đủ,Tây Hồ,Tin thường,False
37826545,53.0,120.0,441.67,31.0,31.0,10.0,8.0,True,Đầy đủ,Tây Hồ,Tin thường,False
37871363,17.2,65.0,264.62,19.0,21.0,8.0,4.6,True,,Thanh Trì,Tin thường,False
37917412,8.9,45.0,197.78,4.0,3.0,4.0,,True,Đầy đủ.,Hoàng Mai,Tin thường,False
37917415,10.5,45.0,233.33,4.0,3.0,5.0,,True,Đầy đủ.,Hoàng Mai,Tin thường,False
37917416,7.9,37.0,213.51,4.0,4.0,5.0,,True,Đầy đủ.,Hoàng Mai,Tin thường,False
37960189,8.3,38.0,218.42,4.0,,4.0,,True,,Hoàng Mai,Tin thường,False
38135135,14.8,50.0,296.0,6.0,7.0,6.0,,True,,Nam Từ Liêm,Tin thường,False
38329498,30.5,85.0,358.82,,,5.0,5.2,True,Đầy đủ,Tây Hồ,Tin thường,False
38329669,42.0,140.0,300.0,,,7.0,10.0,True,Đầy đủ,Tây Hồ,Tin thường,False
38430977,24.8,65.0,381.54,,,8.0,5.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
38475565,5.5,50.0,110.0,5.0,4.0,5.0,3.88,True,Đầy đủ,Thanh Trì,Tin thường,False
38565824,5.8,31.0,187.1,3.0,4.0,5.0,,True,Đầy đủ,Long Biên,Tin thường,False
38605366,40.0,116.0,344.83,,,5.0,6.2,True,Đầy đủ,Tây Hồ,Tin thường,False
38610858,4.98,29.0,171.72,3.0,4.0,5.0,5.0,True,Đầy đủ,Đống Đa,Tin thường,False
38745164,9.35,47.6,196.43,3.0,4.0,5.0,,True,Đầy đủ.,Đống Đa,Tin thường,False
38829509,9.65,49.0,196.94,4.0,3.0,4.0,,True,Đầy đủ,Đống Đa,Tin thường,False
38886387,4.5,30.0,150.0,2.0,3.0,4.0,,False,,Hoàng Mai,Tin thường,False
38946904,30.5,72.0,423.61,,,6.0,4.2,True,Đầy đủ,Ba Đình,Tin thường,False
38950172,5.15,33.0,156.06,3.0,4.0,5.0,3.5,True,Cơ bản,Hoài Đức,Tin thường,False
38954374,8.45,45.0,187.78,3.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
38984120,61.5,120.0,512.5,6.0,3.0,3.0,8.0,True,,Tây Hồ,Tin thường,False
